domain,flow,monitoredPointType,insightId,insightName,description,category,unit,type,format,restName,physicalTarget,expression,translatedExpression
WiFi,wc_streaming,radioInterface,wifi_avg_retransmissionrate,Wifi Avg Retransmissionrate,Wifi Avg Retransmissionrate,KPI,,double,#.##,wifi_avg_retransmissionrate,wifi_avg_retransmissionrate,avg({radio_interface.tx_prr}),avg(radio_interface.tx_prr)
WiFi,wc_streaming,radioInterface,wifi_throughput,Wifi Throughput,Wifi Throughput,KPI,Kbps,bigint,,wifi_throughput,wifi_throughput,sum({radio_interface.dl_throughput} + {radio_interface.ul_throughput}),sum(radio_interface.dl_throughput + radio_interface.ul_throughput)
WiFi,wc_streaming,radioInterface,wifi_avg_assocdevice_signalstrength_dbm,Wifi Avg Assocdevice Signalstrength Dbm,Wifi Avg Assocdevice Signalstrength Dbm,KPI,dBm,double,#.##,wifi_avg_assocdevice_signalstrength_dbm,wifi_avg_assocdevice_signalstrength_dbm,avg({radio_interface.signal}),avg(radio_interface.signal)
WiFi,wc_streaming,radioInterface,wifi_device_associations,Wifi Device Associations,Wifi Device Associations,KPI,,integer,,wifi_device_associations,wifi_device_associations,sum({radio_interface.num_of_stas}),sum(radio_interface.num_of_stas)
WiFi,wc_streaming,accessPoint,wifi_packets,Wifi Packets,Wifi Packets,KPI,,integer,,wifi_packets,wifi_packets,first({radio_interface.tx_packets} + {radio_interface.rx_packets}),first(radio_interface.tx_packets + radio_interface.rx_packets)
WiFi,wc_streaming,accessPoint,wifi_throughput,Wifi Throughput,Wifi Throughput,KPI,Kbps,bigint,,wifi_throughput,wifi_throughput,first({radio_interface.dl_throughput} + {radio_interface.ul_throughput}),first(radio_interface.dl_throughput + radio_interface.ul_throughput)
WiFi,wc_streaming,accessPoint,wifi_packetssend,Wifi Packetssend,Wifi Packetssend,KPI,,integer,,wifi_packetssend,wifi_packetssend,first({radio_interface.tx_packets}),first(radio_interface.tx_packets)
WiFi,wc_streaming,accessPoint,wifi_packetsreceived,Wifi Packetsreceived,Wifi Packetsreceived,KPI,,integer,,wifi_packetsreceived,wifi_packetsreceived,first({radio_interface.rx_packets}),first(radio_interface.rx_packets)
WiFi,wc_streaming,accessPoint,wifi_errorrate,Wifi Errorrate,Wifi Errorrate,KPI,,double,#.##,wifi_errorrate,wifi_errorrate,first({radio_interface.tx_per} + {radio_interface.rx_per}),first(radio_interface.tx_per + radio_interface.rx_per)
WiFi,wc_streaming,accessPoint,wifi_txpower,Wifi Txpower,Wifi Txpower,KPI,dBm,integer,,wifi_txpower,wifi_txpower,first({radio_interface.tx_power}),first(radio_interface.tx_power)
WiFi,wc_streaming,accessPoint,wifi_retransmissionrate,Wifi Retransmissionrate,Wifi Retransmissionrate,KPI,,double,#.##,wifi_retransmissionrate,wifi_retransmissionrate,first({radio_interface.tx_prr}),first(radio_interface.tx_prr)
WiFi,wc_streaming,accessPoint,wifi_signalstrength_dbm,Wifi Signalstrength Dbm,Wifi Signalstrength Dbm,KPI,dBm,double,#.##,wifi_signalstrength_dbm,wifi_signalstrength_dbm,first({radio_interface.signal}),first(radio_interface.signal)
WiFi,wc_streaming,accessPoint,wifi_device_associations,Wifi Device Associations,Wifi Device Associations,KPI,,integer,,wifi_device_associations,wifi_device_associations,first({radio_interface.num_of_stas}),first(radio_interface.num_of_stas)
WiFi,wc_streaming,accessPoint,wifi_ds_data_volume_mb,Wifi Ds Data Volume Mb,Wifi Ds Data Volume Mb,KPI,MB,bigint,,wifi_ds_data_volume_mb,wifi_ds_data_volume_mb,sum({sta_info.tx_bytes})/(1024 * 1024),sum(sta_info.tx_bytes)/(1024 * 1024)
WiFi,wc_streaming,accessPoint,wifi_us_data_volume_mb,Wifi Us Data Volume Mb,Wifi Us Data Volume Mb,KPI,MB,bigint,,wifi_us_data_volume_mb,wifi_us_data_volume_mb,sum({sta_info.rx_bytes})/(1024 * 1024),sum(sta_info.rx_bytes)/(1024 * 1024)
WiFi,wc_streaming,accessPoint,wifi_avg_assocdevice_txbitrate_mbps,Wifi Avg Assocdevice Txbitrate Mbps,Wifi Avg Assocdevice Txbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_txbitrate_mbps,wifi_avg_assocdevice_txbitrate_mbps,avg({sta_info.tx_bitrate}),avg(sta_info.tx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_max_assocdevice_txbitrate_mbps,Wifi Max Assocdevice Txbitrate Mbps,Wifi Max Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_txbitrate_mbps,wifi_max_assocdevice_txbitrate_mbps,max({sta_info.tx_bitrate}),max(sta_info.tx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_min_assocdevice_txbitrate_mbps,Wifi Min Assocdevice Txbitrate Mbps,Wifi Min Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_min_assocdevice_txbitrate_mbps,wifi_min_assocdevice_txbitrate_mbps,min({sta_info.tx_bitrate}),min(sta_info.tx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_avg_assocdevice_rxbitrate_mbps,Wifi Avg Assocdevice Rxbitrate Mbps,Wifi Avg Assocdevice Rxbitrate Mbps,KPI,Mbps,double,#.##,wifi_avg_assocdevice_rxbitrate_mbps,wifi_avg_assocdevice_rxbitrate_mbps,avg({sta_info.rx_bitrate}),avg(sta_info.rx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_max_assocdevice_rxbitrate_mbps,Wifi Max Assocdevice Rxbitrate Mbps,Wifi Max Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_max_assocdevice_rxbitrate_mbps,wifi_max_assocdevice_rxbitrate_mbps,max({sta_info.rx_bitrate}),max(sta_info.rx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_min_assocdevice_rxbitrate_mbps,Wifi Min Assocdevice Rxbitrate Mbps,Wifi Min Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_min_assocdevice_rxbitrate_mbps,wifi_min_assocdevice_rxbitrate_mbps,min({sta_info.rx_bitrate}),min(sta_info.rx_bitrate)
WiFi,wc_streaming,accessPoint,wifi_noise_dbm,Wifi Noise Dbm,Wifi Noise Dbm,KPI,dBm,integer,,wifi_noise_dbm,wifi_noise_dbm,first({channel_info.noise}),first(channel_info.noise)
WiFi,wc_streaming,accessPoint,wifi_device_snr_db,Wifi Device Snr Db,Wifi Device Snr Db,KPI,,double,#.##,wifi_device_snr_db,wifi_device_snr_db,first({radio_interface.signal} / {channel_info.noise}),first(radio_interface.signal / channel_info.noise)
WiFi,wc_streaming,associatedDevice,wifi_throughput,Wifi Throughput,Wifi Throughput,KPI,Kbps,bigint,,wifi_throughput,wifi_throughput,first({sta_info.dl_throughput} + {sta_info.ul_throughput}),first(sta_info.dl_throughput + sta_info.ul_throughput)
WiFi,wc_streaming,associatedDevice,wifi_packets,Wifi Packets,Wifi Packets,KPI,,integer,,wifi_packets,wifi_packets,first({sta_info.tx_packets} + {sta_info.rx_packets}),first(sta_info.tx_packets + sta_info.rx_packets)
WiFi,wc_streaming,associatedDevice,wifi_connection_signal_observation,Wifi Connection Signal Observation,Wifi Connection Signal Observation,Observation,dBm,double,#.##,wifi_connection_signal_observation,wifi_connection_signal_observation,first({sta_info.signal}),first(sta_info.signal)
WiFi,wc_streaming,associatedDevice,wifi_errorrate,Wifi Errorrate,Wifi Errorrate,KPI,,double,#.##,wifi_errorrate,wifi_errorrate,first({sta_info.tx_per}),first(sta_info.tx_per)
WiFi,wc_streaming,associatedDevice,wifi_assocdevice_stats_packetssend,Wifi Assocdevice Stats Packetssend,Wifi Assocdevice Stats Packetssend,KPI,,integer,,wifi_assocdevice_stats_packetssend,wifi_assocdevice_stats_packetssend,first({sta_info.tx_packets}),first(sta_info.tx_packets)
WiFi,wc_streaming,associatedDevice,wifi_assocdevice_stats_packetsreceived,Wifi Assocdevice Stats Packetsreceived,Wifi Assocdevice Stats Packetsreceived,KPI,,integer,,wifi_assocdevice_stats_packetsreceived,wifi_assocdevice_stats_packetsreceived,first({sta_info.rx_packets}),first(sta_info.rx_packets)
WiFi,wc_streaming,associatedDevice,wifi_assocdevice_assoctime,Wifi Assocdevice Assoctime,Wifi Assocdevice Assoctime,KPI,,integer,,wifi_assocdevice_assoctime,wifi_assocdevice_assoctime,first({sta_info.assoc_time}),first(sta_info.assoc_time)
WiFi,wc_streaming,associatedDevice,wifi_ds_data_volume_mb,Wifi Ds Data Volume Mb,Wifi Ds Data Volume Mb,KPI,MB,bigint,,wifi_ds_data_volume_mb,wifi_ds_data_volume_mb,first({sta_info.tx_bytes})/(1024 * 1024),first(sta_info.tx_bytes)/(1024 * 1024)
WiFi,wc_streaming,associatedDevice,wifi_us_data_volume_mb,Wifi Us Data Volume Mb,Wifi Us Data Volume Mb,KPI,MB,bigint,,wifi_us_data_volume_mb,wifi_us_data_volume_mb,first({sta_info.rx_bytes})/(1024 * 1024),first(sta_info.rx_bytes)/(1024 * 1024)
WiFi,wc_streaming,associatedDevice,wifi_assocdevice_txbitrate_mbps,Wifi Assocdevice Txbitrate Mbps,Wifi Assocdevice Txbitrate Mbps,KPI,Mbps,integer,,wifi_assocdevice_txbitrate_mbps,wifi_assocdevice_txbitrate_mbps,first({sta_info.tx_bitrate}),first(sta_info.tx_bitrate)
WiFi,wc_streaming,associatedDevice,wifi_assocdevice_rxbitrate_mbps,Wifi Assocdevice Rxbitrate Mbps,Wifi Assocdevice Rxbitrate Mbps,KPI,Mbps,integer,,wifi_assocdevice_rxbitrate_mbps,wifi_assocdevice_rxbitrate_mbps,first({sta_info.rx_bitrate}),first(sta_info.rx_bitrate)
